[[1995-06-24 04:00:00.0,1995-07-01 04:00:00.0],315]
[[1995-06-25 04:00:00.0,1995-07-02 04:00:00.0],609]
[[1995-06-26 04:00:00.0,1995-07-03 04:00:00.0],1138]
[[1995-06-27 04:00:00.0,1995-07-04 04:00:00.0],1499]
[[1995-06-28 04:00:00.0,1995-07-05 04:00:00.0],1997]
[[1995-06-29 04:00:00.0,1995-07-06 04:00:00.0],2638]
[[1995-06-30 04:00:00.0,1995-07-07 04:00:00.0],3206]
[[1995-07-01 04:00:00.0,1995-07-08 04:00:00.0],3190]
[[1995-07-02 04:00:00.0,1995-07-09 04:00:00.0],3244]
[[1995-07-03 04:00:00.0,1995-07-10 04:00:00.0],3111]
[[1995-07-04 04:00:00.0,1995-07-11 04:00:00.0],3220]
[[1995-07-05 04:00:00.0,1995-07-12 04:00:00.0],3187]
[[1995-07-06 04:00:00.0,1995-07-13 04:00:00.0],3073]
[[1995-07-07 04:00:00.0,1995-07-14 04:00:00.0],2920]
[[1995-07-08 04:00:00.0,1995-07-15 04:00:00.0],2874]
[[1995-07-09 04:00:00.0,1995-07-16 04:00:00.0],2783]
[[1995-07-10 04:00:00.0,1995-07-17 04:00:00.0],2794]
[[1995-07-11 04:00:00.0,1995-07-18 04:00:00.0],2806]
[[1995-07-12 04:00:00.0,1995-07-19 04:00:00.0],2982]
[[1995-07-13 04:00:00.0,1995-07-20 04:00:00.0],2883]
[[1995-07-14 04:00:00.0,1995-07-21 04:00:00.0],2802]
[[1995-07-15 04:00:00.0,1995-07-22 04:00:00.0],2733]
[[1995-07-16 04:00:00.0,1995-07-23 04:00:00.0],2709]
[[1995-07-17 04:00:00.0,1995-07-24 04:00:00.0],2635]
[[1995-07-18 04:00:00.0,1995-07-25 04:00:00.0],2620]
[[1995-07-19 04:00:00.0,1995-07-26 04:00:00.0],2314]
[[1995-07-20 04:00:00.0,1995-07-27 04:00:00.0],2226]
[[1995-07-21 04:00:00.0,1995-07-28 04:00:00.0],1986]
[[1995-07-22 04:00:00.0,1995-07-29 04:00:00.0],1802]
[[1995-07-23 04:00:00.0,1995-07-30 04:00:00.0],1569]
[[1995-07-24 04:00:00.0,1995-07-31 04:00:00.0],1236]
[[1995-07-25 04:00:00.0,1995-08-01 04:00:00.0],769]
[[1995-07-26 04:00:00.0,1995-08-02 04:00:00.0],434]
[[1995-07-27 04:00:00.0,1995-08-03 04:00:00.0],94]
